Semester,Course,Section,Enrollment
Fall 2012,English R1A,12,14
Fall 2012,English R1A,13,16
Fall 2012,English R1B,7,18
Fall 2012,English R1B,12,19
Fall 2012,English R1B,13,16
Fall 2012,English 45A,1,64
Fall 2012,English 45A,2,79
Fall 2012,English 45B,1,98
Fall 2012,English 45C,1,65
Fall 2012,English 104,1,35
Fall 2012,English 130C,1,56
Fall 2012,English 131,1,60
Fall 2012,English 132,1,72
Fall 2012,English 135AC,1,108
Fall 2012,English 143B,1,15
Fall 2012,English 143B,3,5
Fall 2012,English 166,1,23
Fall 2012,English 166,3,26
Fall 2012,English 166,4,38
Fall 2012,English 190,2,25
Fall 2012,English 190,5,11
Fall 2012,English 190,11,18
Fall 2012,English 190,15,14
Fall 2012,English 190,17,5
Fall 2012,English 203,2,6
Fall 2012,English 218,1,11
Fall 2012,English 243A,1,10
Fall 2012,English 298,8,1
Fall 2012,English 298,13,2
Fall 2012,English 298,32,1
Fall 2012,English R1A,1,17
Fall 2012,English R1A,21,16
Fall 2012,English R1A,2,19
Fall 2012,English R1A,3,17
Fall 2012,English R1A,4,17
Fall 2012,English R1A,5,18
Fall 2012,English R1A,7,17
Fall 2012,English R1A,8,15
Fall 2012,English R1A,9,16
Fall 2012,English R1A,10,15
Fall 2012,English R1A,11,20
Fall 2012,English R1A,14,17
Fall 2012,English R1A,15,17
Fall 2012,English R1A,16,16
Fall 2012,English R1A,17,15
Fall 2012,English R1A,18,16
Fall 2012,English R1A,19,19
Fall 2012,English R1A,20,15
Fall 2012,English R1B,1,19
Fall 2012,English R1B,2,17
Fall 2012,English R1B,3,17
Fall 2012,English R1B,4,15
Fall 2012,English R1B,5,15
Fall 2012,English R1B,6,18
Fall 2012,English R1B,8,17
Fall 2012,English R1B,9,19
Fall 2012,English R1B,10,15
Fall 2012,English R1B,11,17
Fall 2012,English 43A,1,13
Fall 2012,English 45B,2,100
Fall 2012,English 45C,2,95
Fall 2012,English C77,1,27
Fall 2012,English 114A,1,29
Fall 2012,English 116,1,26
Fall 2012,English 117A,1,45
Fall 2012,English 117S,1,104
Fall 2012,English 122,1,56
Fall 2012,English 125E,1,190
Fall 2012,English 126,1,58
Fall 2012,English 130A,1,61
Fall 2012,English 139,1,26
Fall 2012,English 141,1,93
Fall 2012,English 143A,1,13
Fall 2012,English 143A,2,14
Fall 2012,English 143B,2,16
Fall 2012,English 165,1,14
Fall 2012,English 165,2,24
Fall 2012,English 166,2,14
Fall 2012,English 175,1,41
Fall 2012,English 180H,1,107
Fall 2012,English 180L,1,31
Fall 2012,English 190,1,25
Fall 2012,English 190,3,23
Fall 2012,English 190,8,24
Fall 2012,English 190,9,20
Fall 2012,English 190,10,19
Fall 2012,English 190,13,9
Fall 2012,English 190,16,25
Fall 2012,English 190,18,21
Fall 2012,English 200,1,15
Fall 2012,English 203,1,15
Fall 2012,English 246I,1,3
Fall 2012,English 250,1,9
Fall 2012,English 250,3,9
Fall 2012,English 298,1,5
Fall 2012,English 298,2,2
Fall 2012,English 298,7,1
Fall 2012,English 298,9,12
Fall 2012,English 298,10,2
Fall 2012,English 298,12,2
Fall 2012,English 298,14,3
Fall 2012,English 298,15,3
Fall 2012,English 298,18,3
Fall 2012,English 298,20,1
Fall 2012,English 298,23,3
Fall 2012,English 298,25,2
Fall 2012,English 298,29,1
Fall 2012,English 298,30,1
Fall 2012,English 298,31,3
Fall 2012,English 298,33,6
Fall 2012,English 298,34,4
Fall 2012,English 298,38,2
Fall 2012,English 298,39,1
Fall 2012,English 298,40,1
Fall 2012,English 298,41,1
Fall 2012,English 298,43,1
Fall 2012,English 299,8,1
Fall 2012,English 299,9,2
Fall 2012,English 299,10,1
Fall 2012,English 299,11,3
Fall 2012,English 299,14,1
Fall 2012,English R1A,6,16
Fall 2012,English 298,4,1
Fall 2012,English 198,20,1
Fall 2012,English 24,3,15
Fall 2012,English 98,20,10
Fall 2012,English 24,1,12
Fall 2012,English 84,1,18
Fall 2012,English 84,2,4
Fall 2012,English 98,1,4
Fall 2012,English 98,3,4
Fall 2012,English 98,4,2
Fall 2012,English 98,5,7
Fall 2012,English 98,6,8
Fall 2012,English 98,7,2
Fall 2012,English 98,8,8
Fall 2012,English 98,9,16
Fall 2012,English 98,10,10
Fall 2012,English 98,11,16
Fall 2012,English 98,12,6
Fall 2012,English 98,13,12
Fall 2012,English 98,14,5
Fall 2012,English 98,16,5
Fall 2012,English 98,17,14
Fall 2012,English 98,18,8
Fall 2012,English 98,19,73
Fall 2012,English 198,3,2
Fall 2012,English 198,4,5
Fall 2012,English 198,5,10
Fall 2012,English 198,6,4
Fall 2012,English 198,7,6
Fall 2012,English 198,8,11
Fall 2012,English 198,9,16
Fall 2012,English 198,10,14
Fall 2012,English 198,11,11
Fall 2012,English 198,12,12
Fall 2012,English 198,13,13
Fall 2012,English 198,14,7
Fall 2012,English 198,15,6
Fall 2012,English 198,16,9
Fall 2012,English 198,17,15
Fall 2012,English 198,18,22
Fall 2012,English 198,19,161
Fall 2012,English 199,1,1
Fall 2012,English 199,4,1
Fall 2012,English 199,6,6
Fall 2012,English 199,7,1
Fall 2012,English 199,8,1
Fall 2012,English 199,9,5
Fall 2012,English 199,10,1
Fall 2012,English 199,11,2
Fall 2012,English 199,12,1
Fall 2012,English 199,13,2
Fall 2012,English 199,14,1
Fall 2012,English 199,15,1
Fall 2012,English 199,16,1
Fall 2012,English 199,17,1
Fall 2012,English 199,18,2
Fall 2012,English 199,19,2
Fall 2012,English 199,20,1
Fall 2012,English 199,21,1
Fall 2012,English 199,22,1
Fall 2012,English 310,1,8
Fall 2012,English 24,2,14
Fall 2012,English 299,12,1
Fall 2012,English 302,1,13
Fall 2012,English 602,1,22
Fall 2012,English 299,13,1
Fall 2012,English H195A,1,22
Fall 2012,English H195A,2,21
Fall 2012,English 115A,1,53
Fall 2012,English 179,1,24
Fall 2012,English 199,2,1
Fall 2012,English 199,3,1
Fall 2012,English 298,3,1
Fall 2012,English 298,5,1
Fall 2012,English 298,6,8
Fall 2012,English 298,19,3
Fall 2012,English 298,22,2
Fall 2012,English 298,28,2
Fall 2012,English 298,37,1
Fall 2013,English R1A,3,17
Fall 2013,English R1A,15,17
Fall 2013,English R1B,5,17
Fall 2013,English R1B,8,20
Fall 2013,English 45C,1,97
Fall 2013,English 105,1,55
Fall 2013,English 117B,1,46
Fall 2013,English 122,1,55
Fall 2013,English 130B,1,58
Fall 2013,English 132,1,128
Fall 2013,English 143B,1,12
Fall 2013,English 165,1,16
Fall 2013,English 165,2,8
Fall 2013,English 166,2,21
Fall 2013,English 166AC,1,89
Fall 2013,English 180A,1,42
Fall 2013,English 180N,1,128
Fall 2013,English 190,7,13
Fall 2013,English 190,15,25
Fall 2013,English 250,2,13
Fall 2013,English 298,7,1
Fall 2013,English 298,8,1
Fall 2013,English 298,38,3
Fall 2013,English R1A,1,17
Fall 2013,English R1A,4,14
Fall 2013,English R1A,5,18
Fall 2013,English R1A,6,16
Fall 2013,English R1A,8,19
Fall 2013,English R1A,10,18
Fall 2013,English R1A,12,17
Fall 2013,English R1A,13,16
Fall 2013,English R1A,14,19
Fall 2013,English R1B,1,19
Fall 2013,English R1B,2,11
Fall 2013,English R1B,3,16
Fall 2013,English R1B,7,17
Fall 2013,English R1B,9,17
Fall 2013,English R1B,10,16
Fall 2013,English R1B,11,17
Fall 2013,English R1B,12,18
Fall 2013,English R1B,14,17
Fall 2013,English 31AC,1,58
Fall 2013,English 45A,1,64
Fall 2013,English 45A,2,63
Fall 2013,English 45B,1,92
Fall 2013,English 45B,2,61
Fall 2013,English 45C,2,78
Fall 2013,English C77,1,27
Fall 2013,English 117S,1,119
Fall 2013,English 121,1,52
Fall 2013,English 125D,1,97
Fall 2013,English 125E,1,55
Fall 2013,English 137T,1,29
Fall 2013,English 141,1,44
Fall 2013,English 143A,1,16
Fall 2013,English 143N,1,12
Fall 2013,English 143T,1,10
Fall 2013,English 152,1,55
Fall 2013,English 166,1,28
Fall 2013,English 175,1,45
Fall 2013,English 180L,1,13
Fall 2013,English 190,1,13
Fall 2013,English 190,6,18
Fall 2013,English 190,8,16
Fall 2013,English 190,9,20
Fall 2013,English 190,11,5
Fall 2013,English 190,12,25
Fall 2013,English 190,16,24
Fall 2013,English 190,17,23
Fall 2013,English 200,1,13
Fall 2013,English 203,1,7
Fall 2013,English 203,2,12
Fall 2013,English 203,3,4
Fall 2013,English 205A,1,10
Fall 2013,English 246F,1,9
Fall 2013,English 250,1,9
Fall 2013,English 250,3,15
Fall 2013,English 298,1,6
Fall 2013,English 298,2,6
Fall 2013,English 298,3,1
Fall 2013,English 298,4,1
Fall 2013,English 298,6,13
Fall 2013,English 298,9,7
Fall 2013,English 298,10,2
Fall 2013,English 298,12,2
Fall 2013,English 298,14,3
Fall 2013,English 298,15,2
Fall 2013,English 298,18,3
Fall 2013,English 298,19,2
Fall 2013,English 298,20,2
Fall 2013,English 298,22,1
Fall 2013,English 298,23,2
Fall 2013,English 298,25,3
Fall 2013,English 298,29,3
Fall 2013,English 298,31,1
Fall 2013,English 298,32,2
Fall 2013,English 298,33,5
Fall 2013,English 298,34,4
Fall 2013,English 298,40,1
Fall 2013,English 298,41,1
Fall 2013,English 298,43,1
Fall 2013,English 298,46,1
Fall 2013,English 299,2,1
Fall 2013,English 299,7,1
Fall 2013,English R1A,11,12
Fall 2013,English 298,28,2
Fall 2013,English 24,1,13
Fall 2013,English 24,2,9
Fall 2013,English 24,3,15
Fall 2013,English 84,1,20
Fall 2013,English 98,1,5
Fall 2013,English 98,2,5
Fall 2013,English 98,3,6
Fall 2013,English 98,4,17
Fall 2013,English 98,5,3
Fall 2013,English 98,6,5
Fall 2013,English 98,7,7
Fall 2013,English 98,8,17
Fall 2013,English 98,9,28
Fall 2013,English 98,10,17
Fall 2013,English 98,11,18
Fall 2013,English 98,12,8
Fall 2013,English 98,14,6
Fall 2013,English 98,19,45
Fall 2013,English 198,3,1
Fall 2013,English 198,4,4
Fall 2013,English 198,5,14
Fall 2013,English 198,6,5
Fall 2013,English 198,7,16
Fall 2013,English 198,8,18
Fall 2013,English 198,9,13
Fall 2013,English 198,10,18
Fall 2013,English 198,11,21
Fall 2013,English 198,12,5
Fall 2013,English 198,14,5
Fall 2013,English 198,19,179
Fall 2013,English 198,20,1
Fall 2013,English 199,1,1
Fall 2013,English 199,2,2
Fall 2013,English 199,3,1
Fall 2013,English 199,4,2
Fall 2013,English 199,5,1
Fall 2013,English 199,6,1
Fall 2013,English 199,7,1
Fall 2013,English 199,8,1
Fall 2013,English 310,1,4
Fall 2013,English 298,5,1
Fall 2013,English 298,13,1
Fall 2013,English 298,37,1
Fall 2013,English 298,44,1
Fall 2013,English 299,1,4
Fall 2013,English 299,4,2
Fall 2013,English 299,5,1
Fall 2013,English 299,6,1
Fall 2013,English 299,9,1
Fall 2013,English 375,1,9
Fall 2013,English 602,1,11
Fall 2013,English 298,35,1
Fall 2013,English H195A,1,17
Fall 2013,English H195A,2,17
Fall 2013,English 115A,1,60
Fall 2013,English 143B,2,12
Fall 2013,English 298,27,1
Fall 2013,English 298,30,1
Fall 2013,English 299,8,2
Fall 2014,English R1A,2,20
Fall 2014,English R1B,4,19
Fall 2014,English R1B,5,21
Fall 2014,English R1B,7,17
Fall 2014,English R1B,8,19
Fall 2014,English 26,2,20
Fall 2014,English 45A,2,50
Fall 2014,English 117S,1,28
Fall 2014,English 130B,1,56
Fall 2014,English 133B,1,23
Fall 2014,English 138,1,18
Fall 2014,English 143B,2,9
Fall 2014,English 143B,3,6
Fall 2014,English 165,1,12
Fall 2014,English 165,5,31
Fall 2014,English 166,3,43
Fall 2014,English 190,1,15
Fall 2014,English 190,8,5
Fall 2014,English 190,9,24
Fall 2014,English 190,12,4
Fall 2014,English R1B,9,16
Fall 2014,English R1A,1,17
Fall 2014,English R1A,4,18
Fall 2014,English R1A,5,15
Fall 2014,English R1A,6,16
Fall 2014,English R1A,7,20
Fall 2014,English R1A,8,16
Fall 2014,English R1A,9,18
Fall 2014,English R1A,10,18
Fall 2014,English R1B,1,18
Fall 2014,English R1B,2,17
Fall 2014,English R1B,3,16
Fall 2014,English R1B,6,14
Fall 2014,English 26,1,18
Fall 2014,English 28,1,26
Fall 2014,English 31AC,1,29
Fall 2014,English 43A,1,8
Fall 2014,English 45A,1,91
Fall 2014,English 45B,1,94
Fall 2014,English 45B,2,18
Fall 2014,English 45C,1,91
Fall 2014,English 45C,2,54
Fall 2014,English C77,1,28
Fall 2014,English 104,1,44
Fall 2014,English 115A,1,58
Fall 2014,English 115B,1,27
Fall 2014,English 117S,2,98
Fall 2014,English 119,1,11
Fall 2014,English 125D,1,45
Fall 2014,English 126,1,38
Fall 2014,English 127,1,43
Fall 2014,English 130A,1,46
Fall 2014,English 133A,1,4
Fall 2014,English 133T,1,14
Fall 2014,English 135AC,1,104
Fall 2014,English C136,1,23
Fall 2014,English 141,1,47
Fall 2014,English 141,2,46
Fall 2014,English 143A,1,11
Fall 2014,English 143A,2,9
Fall 2014,English 143B,1,7
Fall 2014,English 143N,1,15
Fall 2014,English 143N,2,11
Fall 2014,English 161,1,29
Fall 2014,English 165,2,9
Fall 2014,English 165,3,15
Fall 2014,English 165,6,9
Fall 2014,English 166,2,13
Fall 2014,English 166,4,8
Fall 2014,English 171,1,37
Fall 2014,English 173,1,55
Fall 2014,English 174,1,20
Fall 2014,English 175,1,42
Fall 2014,English 190,2,5
Fall 2014,English 190,3,21
Fall 2014,English 190,4,8
Fall 2014,English 190,5,6
Fall 2014,English 190,6,6
Fall 2014,English 190,7,18
Fall 2014,English 190,10,16
Fall 2014,English 190,11,7
Fall 2014,English 190,14,14
Fall 2014,English 190,15,13
Fall 2014,English 200,1,12
Fall 2014,English 203,2,7
Fall 2014,English 203,3,9
Fall 2014,English 211,1,4
Fall 2014,English 246C,1,5
Fall 2014,English 246K,1,7
Fall 2014,English 250,1,7
Fall 2014,English 250,2,11
Fall 2014,English 250,3,5
Fall 2014,English 298,54,1
Fall 2014,English R1A,3,16
Fall 2014,English 24,1,13
Fall 2014,English 84,1,14
Fall 2014,English 98,1,5
Fall 2014,English 98,2,6
Fall 2014,English 98,4,8
Fall 2014,English 98,11,20
Fall 2014,English 98,12,23
Fall 2014,English 98,13,7
Fall 2014,English 98BC,1,20
Fall 2014,English 99,1,1
Fall 2014,English 198,4,18
Fall 2014,English 198,5,16
Fall 2014,English 198,6,16
Fall 2014,English 198,7,3
Fall 2014,English 198,8,6
Fall 2014,English 198,9,18
Fall 2014,English 198,11,11
Fall 2014,English 198,12,16
Fall 2014,English 198,13,3
Fall 2014,English 198BC,1,18
Fall 2014,English 199,1,1
Fall 2014,English 199,2,4
Fall 2014,English 199,3,4
Fall 2014,English 199,4,2
Fall 2014,English 199,6,2
Fall 2014,English 199,7,2
Fall 2014,English 199,8,3
Fall 2014,English 199,9,1
Fall 2014,English 199,10,3
Fall 2014,English 199,11,2
Fall 2014,English 199,12,1
Fall 2014,English 199,13,1
Fall 2014,English 310,1,3
Fall 2014,English 98BC,2,20
Fall 2014,English 98BC,3,19
Fall 2014,English 198BC,2,20
Fall 2014,English 198BC,3,20
Fall 2014,English 198BC,4,20
Fall 2014,English 198BC,5,20
Fall 2014,English 198BC,6,19
Fall 2014,English 198BC,7,21
Fall 2014,English 198BC,8,20
Fall 2014,English 198BC,9,20
Fall 2014,English 98,5,12
Fall 2014,English 98,6,12
Fall 2014,English 98,7,8
Fall 2014,English 98,8,1
Fall 2014,English 98,9,17
Fall 2014,English 24,3,8
Fall 2014,English 375,1,15
Fall 2014,English 602,1,103
Fall 2014,English 99,3,1
Fall 2014,English H195A,1,16
Fall 2014,English H195A,2,18
Fall 2014,English 98,10,10
Fall 2014,English 99,2,1
Fall 2014,English 198,10,28
Fall 2014,English 217,1,12
Fall 2014,English 298,5,1
Fall 2014,English 24,2,9
Fall 2015,English 27,3,25
Fall 2015,English 31AC,1,48
Fall 2015,English 45A,1,65
Fall 2015,English 45C,2,94
Fall 2015,English C77,1,32
Fall 2015,English 104,1,43
Fall 2015,English 130B,1,57
Fall 2015,English 131,1,31
Fall 2015,English C136,1,27
Fall 2015,English 143B,1,10
Fall 2015,English 165,7,25
Fall 2015,English 166,1,22
Fall 2015,English 190,3,14
Fall 2015,English 190,7,19
Fall 2015,English 190,8,23
Fall 2015,English 190,13,9
Fall 2015,English 203,3,11
Fall 2015,English R1B,13,17
Fall 2015,English R1A,1,18
Fall 2015,English R1A,2,17
Fall 2015,English R1A,3,17
Fall 2015,English R1A,4,17
Fall 2015,English R1A,5,16
Fall 2015,English R1A,6,16
Fall 2015,English R1A,7,18
Fall 2015,English R1A,8,19
Fall 2015,English R1A,9,19
Fall 2015,English R1B,1,15
Fall 2015,English R1B,2,16
Fall 2015,English R1B,3,17
Fall 2015,English R1B,4,17
Fall 2015,English R1B,5,19
Fall 2015,English R1B,6,17
Fall 2015,English R1B,7,16
Fall 2015,English R1B,8,18
Fall 2015,English R1B,9,19
Fall 2015,English 26,1,20
Fall 2015,English 45A,2,38
Fall 2015,English 45B,1,63
Fall 2015,English 45B,2,99
Fall 2015,English 45C,1,64
Fall 2015,English C107,1,104
Fall 2015,English 115B,1,45
Fall 2015,English 117A,1,79
Fall 2015,English 118,1,30
Fall 2015,English 125B,1,45
Fall 2015,English 125C,1,44
Fall 2015,English 125D,1,23
Fall 2015,English 126,1,27
Fall 2015,English 130C,1,23
Fall 2015,English 137B,1,44
Fall 2015,English 139,1,23
Fall 2015,English 141,1,46
Fall 2015,English 141,2,45
Fall 2015,English 143A,1,13
Fall 2015,English 143B,2,11
Fall 2015,English 143C,1,15
Fall 2015,English 143N,1,12
Fall 2015,English 165,1,13
Fall 2015,English 165,4,17
Fall 2015,English 165,5,19
Fall 2015,English 165,8,24
Fall 2015,English 166,2,24
Fall 2015,English 171,1,39
Fall 2015,English 175,1,25
Fall 2015,English 180L,1,48
Fall 2015,English 190,1,6
Fall 2015,English 190,2,16
Fall 2015,English 190,6,14
Fall 2015,English 190,9,17
Fall 2015,English 190,11,9
Fall 2015,English 190,14,22
Fall 2015,English 190,15,23
Fall 2015,English 200,1,13
Fall 2015,English 203,1,3
Fall 2015,English 203,2,12
Fall 2015,English 203,4,8
Fall 2015,English 250,2,4
Fall 2015,English 250,3,2
Fall 2015,English 250,4,3
Fall 2015,English 298,53,1
Fall 2015,English R1B,10,17
Fall 2015,English 117S,1,51
Fall 2015,English 180R,1,23
Fall 2015,English R1B,11,17
Fall 2015,English R1B,12,16
Fall 2015,English 24,1,13
Fall 2015,English 84,1,17
Fall 2015,English 98,2,1
Fall 2015,English 98,4,9
Fall 2015,English 98,5,20
Fall 2015,English 98,6,8
Fall 2015,English 98,7,19
Fall 2015,English 98,8,12
Fall 2015,English 98,9,2
Fall 2015,English 98,10,8
Fall 2015,English 98,11,5
Fall 2015,English 98BC,1,17
Fall 2015,English 98BC,2,19
Fall 2015,English 98BC,3,19
Fall 2015,English 198,4,16
Fall 2015,English 198,5,20
Fall 2015,English 198,6,12
Fall 2015,English 198,7,21
